time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.023181487434956,2.1133291435004153,5.644656544626166,0.0,0.0,0.0,2.318148743495496,8.923277535365347,-6.0350687086371,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.04,0.0149782357304958,0.01729403746184684,10.057176998662955,1.3006622519807465,3.912222280690436,0.0,1.49782357304958,1.729403746184684,1.081402379304549,17.491588851003982,-11.906665260134108,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.06,0.06246687574797298,0.034515748317801895,10.072035832614349,5.089509679039786,5.695235220702571,0.0,3.251040428698138,-0.007232660589178375,0.40448101583483287,25.050921742041034,-17.308057091796385,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.08,0.1413871370787666,0.01493280304841181,10.085861855625959,5.502933835819636,3.818139934498891,0.0,4.640985704381223,-1.9510618663498305,0.9781212853263016,31.17659911576515,-22.006021857520246,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.1,0.25002283082636534,-0.010356186807970014,10.089584825239212,4.095097990295358,4.597875861069738,0.0,6.22258367037865,-0.5778371192883518,-0.6058243240009348,35.76680668983401,-25.87979048016689,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.12000000000000001,0.3990937230389175,-0.019612452088797493,10.077139139362624,3.7125460397548196,2.441885173709835,0.0,8.684505550876562,-0.34778940879439596,-0.6387442636579959,38.98714742424159,-28.927671852341017,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.14,0.5569633856746444,-0.016267186221679067,10.078439631480604,0.514244543809081,4.505532526375539,0.0,7.102460712696132,0.6823159955062383,0.7687934754560164,41.13430408492055,-31.226454482218198,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.16,0.723189225299505,-0.005103167886693759,10.087460042882556,2.289455535725274,5.302723835814248,0.0,9.520123249789929,0.4340858379922924,0.13324766473927063,42.51453950702635,-32.912704996870794,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.18,0.9338884789924012,0.013921483650479162,10.079116938639407,3.5143250164614273,5.369642249956602,0.0,11.549802119499686,1.4683793157249996,-0.9675580890542037,43.38007828789711,-34.117007711373894,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.19999999999999998,1.1839842471139561,0.0378390703793075,10.043828928798122,4.524563129548067,5.044071628984922,0.0,13.459774692655822,0.923379357157834,-2.561242895074187,43.91418791583636,-34.96172012782792,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.21999999999999997,1.4754548708807178,0.04866867197343383,9.989157209026901,5.45606888566526,4.516256353775846,0.0,15.68728768402034,0.15958080225479943,-2.905929082047861,44.240445476056706,-35.5472440425359,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.23999999999999996,1.811471902375595,0.0551009810004223,9.926070408481712,0.07730261677222217,3.886087159338034,0.0,17.91441546546736,0.4836501004440473,-3.4027509724709604,44.43848652617215,-35.94917858052165,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.25999999999999995,2.1857780833121363,0.06348992682587168,9.83950808414249,0.9732423401151271,3.204593944027641,0.0,19.516202628186797,0.35524448210089127,-5.253481461451197,44.55823620524864,-36.223004643196624,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.27999999999999997,2.5793517181668095,0.050008315084934446,9.718578707057985,1.867016337461779,2.496742356306367,0.0,19.841160857280542,-1.703405656194615,-6.839456246999294,44.630475713022136,-36.405259986836576,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.3,2.962822433515334,-0.0027269368907324107,9.585758080240948,2.760572714817865,1.7755915964485727,0.0,18.505910677571887,-3.5701195413720708,-6.442606434704324,44.673992677430114,-36.52319590061128,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.32,3.3118094730983603,-0.07562625904099371,9.459075572309525,3.6544085694929773,1.0481564308681852,0.0,16.392793280730764,-3.7198126736540598,-6.2256443584380925,44.70067604777608,-36.60102587468089,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.34,3.6183617322484403,-0.15551006345755022,9.322854447659157,4.54854315693764,0.3176337806529075,0.0,14.262432634277257,-4.268567768001593,-7.3964681065985545,44.71623667045913,-36.655759178588845,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.36000000000000004,3.894766134556372,-0.2640856751182001,9.168927858349605,5.442911675158616,5.868526203702737,0.0,13.378007596515912,-6.588993398063395,-7.996190824356528,44.72559453472331,-36.6963128329746,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.38000000000000006,4.171721321065202,-0.41336853075882907,9.022074223091048,0.05425408800473264,5.135011736807023,0.0,14.317511054367076,-8.339292165999503,-6.689172701499048,44.73122113782593,-36.72501090830305,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
0.4000000000000001,4.479803724019361,-0.5798686182569092,8.896858633545405,0.94888423219854,4.400731636569873,0.0,16.490729241048875,-8.310716583808508,-5.832386253065267,44.734603869647685,-36.74599270655346,0.0,-1224.113338126805,-423.87887136458795,-1538.7762767033514,2077.91783553654
